,IMO,max_op_speed,main engine power 85_x,Design Speed (knots),real_propulsion_power,EPL,Main Engine Power (kW),Count Inst,Count Equip,Customer ID,Customer Country,Cust Corp Group Key,CustStatus,Inst Status,Inst Category,Inst Load attribute,Inst Segment,Inst Cluster,InstGroup,Inst Type,Inst Type Id,Inst Class Society,Inst Operator Id,Inst Builder Id,Inst Registration Country,Inst Operation Country,Inst BuiltDate,Inst CommDate,Inst Estimated Date,Inst Estimated Date Flag,Equip Status,Equip Category Name,Equip ProdRefTypeID,Equip Application,Equip FuelType,Equip FuelQuality,Equip CommDate,Equip CylQty,Equip Eng L V,Equip bore in mm,Equip Engine rotation,Equip Drive,Equip Version,Equip Product DIA,Equip Position,Equip Valid from,Business,Business Line,Product Category,Product Portfolio,Product,built_year,main engine power 85_y
10,6136042,23.5,45741.7385,29.5,23123.32086671714,1,53813.81,1,4,8787,IT,18942, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,9885,66006,IT,IT,2000-11-25,2000-12-13 00:00:00,2000-12-13 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36855,16,V,531.0,"CCW,CW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,45741.7385
11,6136379,24.0,45741.7385,29.5,24630.903569459395,1,53813.81,1,4,13320,GR,18942, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,14985,66006,GR,GR,2001-04-19,2001-04-23 00:00:00,2001-04-23 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37001,16,V,531.0,"CCW,CW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,45741.7385
12,6146887,22.0,45741.7385,32.0,14863.831529174804,1,53813.81,1,4,13320,GR,18942, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,14985,66006,GR,GR,2001-12-13,2001-12-13 00:00:00,2001-12-13 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37238,16,V,531.0,"CCW,CW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,45741.7385
13,6146895,25.0,45741.7385,31.5,22866.570334777058,1,53813.81,1,4,13320,GR,18942, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,14985,66006,GR,GR,2002-05-11,2002-02-03 00:00:00,2002-02-03 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37290,16,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,45741.7385
14,6164499,8.0,2940.541,13.8,572.8750932242344,1,3459.46,1,4,2016,FR, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,BV,2268,2183,FR,FR,2002-02-28,2001-09-04 00:00:00,2001-09-04 00:00:00,Act,Operating,Engines (E),Engine 1,ME,LFO, ,373153732037321,6,L,231.0,"CCW,CW","CPA,CPP", ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2002,2940.541
15,6128119,17.0,10618.6165,21.0,5633.221343753375,1,12492.49,1,2,1061,US, , ,Operating,Marine, -,Cruise & Ferry,Cruise Vessels,Cruise Vessels,Cruise Vessel,M200,RINA,1194,16125,BS,US,2001-06-01,2001-06-15 00:00:00,2001-06-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37057,8,L,531.0,"CCW,CW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,10618.6165
16,6131139,12.5,6738.7405,14.5,4317.225811328877,1,7927.93,1,3,1219,GR,1829, ,Operating,Marine, -,Merchant,Tankers,Chemical Tankers,Chemical Tanker,M130,BV,1372,2363,MH,GR,2000-11-10,2000-07-12 00:00:00,2000-07-12 00:00:00,Act,Operating,Engines (E),Engine 4,ME,HFO,HFO 730,36719,"6,8",L,369.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2000,6738.7405
17,6131141,14.0,6738.7405,15.0,5478.845609481482,1,7927.93,1,3,5547,NL, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,DNVG,6240,2363,KY,NL,2001-03-02,2001-03-03 00:00:00,2001-03-03 00:00:00,Act,Operating,Engines (E),Engine 4,ME,HFO,HFO 730,36953,"6,8",L,369.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2001,6738.7405
18,6140147,17.0,13232.4345,18.0,11147.282355709875,1,15567.57,1,4,1223,US,1835, ,Operating,Marine, -,Cruise & Ferry,Cruise Vessels,Cruise Vessels,Cruise Vessel,M200,LR,1376,2279,MT,US,2001-02-16,2000-12-22 00:00:00,2000-12-22 00:00:00,Act,Operating,Engines (E),Engine 14,ME,HFO,HFO 730,36882,12,V,369.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,Vasa 32,2001,13232.4345
19,6142911,26.0,34306.306,29.0,24722.93387412358,1,40360.36,1,4,2650,IT,MOBY, ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,RoRo Vessel,M107,RINA,2981,2336,IT,IT,2001-05-04,2001-05-15 00:00:00,2001-05-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36965,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,34306.306
20,6142851,25.5,45741.7385,29.0,31098.483710707183,1,53813.81,1,4,1391,IT,39601, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,1565,1127,IT,IT,2002-03-18,2002-03-23 00:00:00,2002-03-23 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37334,16,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,45741.7385
21,6148348,24.0,34306.306,30.0,17564.828672000003,1,40360.36,1,4,44157,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,49677,2363,IT,IT,2001-07-09,2001-07-07 00:00:00,2001-07-07 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37079,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,34306.306
22,6148356,23.0,34306.306,30.0,15459.437966740743,1,40360.36,1,4,44157,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,49677,2363,IT,IT,2002-04-09,2002-03-15 00:00:00,2002-03-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37330,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,34306.306
23,6166724,11.5,2613.8179999999998,14.5,1303.9617698962647,1,3075.08,1,1,2167,IT, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,BV,2438,56820,IT,IT,2002-07-09,2002-07-09 00:00:00,2002-07-09 00:00:00,Act,Operating,Engines (E),Engine 4,ME,HFO,HFO 730,37446,8,L,369.0,CW,CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2002,2613.8179999999998
24,6162255,13.5,4288.2925000000005,14.5,3460.84141528968,1,5045.05,1,1,14520,NL, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,RINA,16335,66026,MT,NL,2002-06-27,2001-07-02 00:00:00,2001-07-02 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37432,6,L,531.0,CW,CPA, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,4288.2925000000005
25,6195603,23.5,34959.7605,30.0,16803.829696256944,1,41129.13,1,4,44157,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,49677,2363,IT,IT,2004-06-28,2004-06-18 00:00:00,2004-06-18 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,38156,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2004,34959.7605
26,6146903,13.5,5513.5165,14.0,4943.6290665770775,1,6486.49,1,3,2074,IT, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,RINA,2333,56820,IT,IT,2000-01-11,2000-01-11 00:00:00,2000-01-11 00:00:00,Act,Operating,Engines (E),Engine 4,ME,HFO, ,36536,6,L,369.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2000,5513.5165
27,6133960,17.0,13232.4345,20.0,8126.368837312499,1,15567.57,1,4,1223,US,1835, ,Operating,Marine, -,Cruise & Ferry,Cruise Vessels,Cruise Vessels,Cruise Vessel,M200,DNVG,1376,2279,MT,US,2000-05-24,2000-05-24 00:00:00,2000-05-24 00:00:00,Act,Operating,Engines (E),Engine 14,ME,HFO,HFO 730,36670,12,V,369.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,Vasa 32,2000,13232.4345
28,6125197,20.0,42454.057499999995,22.0,31896.361758076626,1,49945.95,1,6,3619,IT,86482, ,Operating,Marine, -,Cruise & Ferry,Cruise Vessels,Cruise Vessels,Cruise Vessel,M200,RINA,4071,65686,IT,IT,2000-06-30,2000-06-30 00:00:00,2000-06-30 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,3670736434,9,L,531.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,42454.057499999995
29,6135449,26.5,31855.858,28.0,27005.538057272686,1,37477.48,1,4,1627,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,1831,16125,IT,IT,2001-03-01,2001-03-01 00:00:00,2001-03-01 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36979,12,V,531.0,"CCW,CW",CPT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,31855.858
30,6135457,26.5,31855.858,28.0,27005.538057272686,1,37477.48,1,4,1627,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,1831,16125,IT,IT,2001-06-01,2001-06-01 00:00:00,2001-06-01 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37057,12,V,531.0,"CCW,CW","CPA,CPP", ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,31855.858
31,6138722,27.5,34306.306,30.0,26424.591021990735,1,40360.36,1,4,1627,IT, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,1831,1973,IT,IT,2001-07-05,2001-06-28 00:00:00,2001-06-28 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37070,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,34306.306
32,6158230,19.5,42454.057499999995,22.0,29563.441923864808,1,49945.95,1,6,3619,IT,86482, ,Operating,Marine, -,Cruise & Ferry,Cruise Vessels,Cruise Vessels,Cruise Vessel,M200,RINA,4071,65686,IT,IT,2003-05-23,2003-05-23 00:00:00,2003-05-23 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,"HFO 380, ",37764,9,L,531.0,CW,ALT, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2003,42454.057499999995
33,6182148,12.0,4288.2925000000005,14.6,2381.0557893356854,1,5045.05,1,1,3095,CA, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,LR,3482,19569,CA,CA,2004-06-04,2004-06-04 00:00:00,2004-06-04 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,38142,6,L,531.0,CW,CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2004,4288.2925000000005
34,6114263,11.0,1878.6785,13.5,1016.3170587816896,1,2210.21,1,1,408771,TR, , ,Operating,Marine, -,Merchant,Cargo Vessels,Cargo Vessels,General Cargo Vessel,M113,DNVG,459868,2621,PA,TR,2002-03-21,2002-03-10 00:00:00,2002-03-10 00:00:00,Act,Operating,Engines (E),Engine 4,ME,HFO, ,37325,6,L,369.0,CW,CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2002,1878.6785
35,6133387,10.5,898.501,11.0,781.462975300526,1,1057.06,1,1,5256,SE, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,RINA,5913,66012,CY,SE,2000-07-27,2000-05-15 00:00:00,2000-05-15 00:00:00,Act,Operating,Engines (E),Engine 1,ME,LFO, ,36661,8,L,231.0,CW,CPA, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2000,898.501
36,6141442,20.5,12864.868999999999,22.0,10408.757939859595,1,15135.14,1,2,4498,LT,4547, ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,RoRo Vessel,M107,BV,5060,2671,LT,LT,2003-06-13,2002-01-01 00:00:00,2002-01-01 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37574,9,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2003,12864.868999999999
37,6136241,16.5,17153.153,22.0,7236.486421874999,1,20180.18,1,4,17791,ES, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,BV,20015,2699,ES,ES,2001-03-29,2001-03-29 00:00:00,2001-03-29 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,40611,6,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,17153.153
38,6143119,20.5,16336.337000000001,21.98295918,13248.228395159782,1,19219.22,1,4,406583,DK, , ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,RoRo Vessel,M107,DNVG,457406,10121,DK,DK,2003-05-01,2001-08-07 00:00:00,2001-08-07 00:00:00,Act,Operating,Engines (E),Engine 15,ME, , ,37257,8,L,462.0, , , ,0,-,2005-05-26 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,Sulzer Z 40,2003,16336.337000000001
39,6157966,7.0,2246.2439999999997,13.0,350.68807100591704,1,2642.64,1,4,5814,GB, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,LR,6541,65873,GB,GB,2001-07-06,2001-06-25 00:00:00,2001-06-25 00:00:00,Act,Operating,Engines (E),Engine 1,ME,HFO,HFO 380,37067,5,L,231.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2001,2246.2439999999997
40,6120727,20.5,16172.975499999999,22.5,12232.182654984908,1,19027.03,1,4,17791,ES, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,LR,20015,16125,ES,ES,2000-02-26,2000-02-26 00:00:00,2000-02-26 00:00:00,Act,Operating,Engines (E),Engine 7,ME,HFO, ,36565,9,L,438.0, , , ,0,-,2005-04-26 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 38,2000,16172.975499999999
41,6120737,19.5,16172.975499999999,22.5,10528.008051407409,1,19027.03,1,4,24062,FI,1059, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,LR,27070,16125,FI,FI,2000-09-12,2000-09-12 00:00:00,2000-09-12 00:00:00,Act,Operating,Engines (E),Engine 7,ME,HFO, ,36739,9,L,438.0, , , ,0,-,2005-04-26 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 38,2000,16172.975499999999
42,6137849,17.5,11435.4325,20.9,6713.173668589172,1,13453.45,1,2,5676,GB,8514, ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,Car Carrier,M110,LR,6386,2694,PT,GB,2000-05-31,2000-05-25 00:00:00,2000-05-25 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36671,8,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,11435.4325
43,6137857,17.0,11435.4325,20.9,6154.042632541779,1,13453.45,1,2,843,NO,8514, ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,Car Carrier,M110,LR,949,2694,PT,NO,2000-09-30,2000-09-16 00:00:00,2000-09-16 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36785,8,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,11435.4325
44,6151369,16.5,11435.4325,20.9,5626.852994241144,1,13453.45,1,2,843,NO,8514, ,Operating,Marine, -,Merchant,RoRo Vessels,RoRo Vessels,Car Carrier,M110,LR,949,2694,PT,NO,2000-12-15,2000-12-15 00:00:00,2000-12-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,36875,8,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,11435.4325
45,6135944,19.5,11272.071,25.0,5349.183837192,1,13261.26,1,4,7445,CA, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,DNVG,8375,2336,CA,CA,2000-05-12,2000-03-31 00:00:00,2000-03-31 00:00:00,Act,Operating,Engines (E),Engine 4,ME,LFO,LFO DMA,36616,9,L,369.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,W 32,2000,11272.071
46,6139119,24.5,21563.9645,28.1,14292.490149651447,1,25369.37,1,4,15117,GR,22675, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,17006,2392,GR,GR,2005-09-19,1999-11-11 00:00:00,1999-11-11 00:00:00,Act,Operating,Engines (E),Engine 7,ME,HFO,HFORML35,38633,12,V,438.0,"CW,CCW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 38,2005,21563.9645
47,6143703,25.0,21563.9645,26.5,18105.520412824008,1,25369.37,1,4,15117,GR,22675, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,17006,16125,GR,GR,2007-07-18,2000-02-03 00:00:00,2000-02-03 00:00:00,Act,Operating,Engines (E),Engine 7,ME,HFO,HFORML35,39281,12,V,438.0,"CW,CCW", , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 38,2007,21563.9645
48,6144019,27.5,34306.306,32.0,21773.19206523895,1,40360.36,1,4,19912,GR,4991, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,RINA,22401,16125,GR,GR,2000-10-16,2000-10-16 00:00:00,2000-10-16 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,3681336815,12,V,531.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2000,34306.306
